file,passed,failure_reasons,expected_document_type,actual_document_type,expected_governance_relevance,actual_governance_relevance,raid_items,escalation_items,meeting_actions,ocr_fallback_triggered,scanned_pdf_detected,ocr_processing_time_seconds,ocr_confidence,processing_time_seconds,parse_time_seconds,analysis_time_seconds,text_char_count
data\regression\corpus\edge_cases\edge_case_01_very_short.txt,True,,edge_case_document,edge_case_document,medium,medium,0,0,0,False,False,,,0.056,0.001,0.052,107
data\regression\corpus\edge_cases\edge_case_02_empty_minimal.txt,True,,edge_case_document,edge_case_document,medium,medium,0,0,0,False,False,,,0.002,0.001,0.0,44
data\regression\corpus\edge_cases\edge_case_03_tables_charts.txt,True,,edge_case_document,edge_case_document,medium,medium,0,0,0,False,False,,,0.013,0.002,0.01,2671
data\regression\corpus\edge_cases\edge_case_04_handwritten_style.txt,True,,edge_case_document,edge_case_document,medium,medium,4,0,1,False,False,,,0.009,0.001,0.007,794
data\regression\corpus\edge_cases\edge_case_05_mixed_languages.txt,True,,edge_case_document,edge_case_document,medium,medium,1,0,1,False,False,,,0.011,0.002,0.009,2770
data\regression\corpus\edge_cases\edge_case_06_scanned_style.txt,True,,edge_case_document,edge_case_document,medium,medium,6,0,6,False,False,,,0.017,0.003,0.014,2888
data\regression\corpus\edge_cases\edge_case_07_duplicate_content.txt,True,,edge_case_document,edge_case_document,medium,medium,6,0,6,False,False,,,0.015,0.003,0.011,3260
data\regression\corpus\edge_cases\edge_case_08_very_long.txt,True,,edge_case_document,edge_case_document,medium,medium,0,0,6,False,False,,,0.049,0.001,0.048,9800
data\regression\corpus\edge_cases\edge_case_09_nested_documents.txt,True,,edge_case_document,edge_case_document,medium,medium,4,0,2,False,False,,,0.012,0.001,0.007,1673
data\regression\corpus\edge_cases\edge_case_10_unusual_format.txt,True,,edge_case_document,edge_case_document,medium,medium,0,0,0,False,False,,,0.024,0.001,0.022,3085
data\regression\corpus\escalation_memos\escalation_memo_01.pdf,True,,escalation_memo,escalation_memo,high,high,8,1,10,False,False,,,0.082,0.059,0.019,4093
data\regression\corpus\escalation_memos\escalation_memo_02.pdf,True,,escalation_memo,escalation_memo,high,high,8,0,10,False,True,,,0.056,0.034,0.021,4501
data\regression\corpus\escalation_memos\escalation_memo_03.pdf,True,,escalation_memo,escalation_memo,high,high,8,0,9,False,False,,,0.096,0.073,0.022,4359
data\regression\corpus\escalation_memos\escalation_memo_04.txt,True,,escalation_memo,escalation_memo,high,high,8,1,10,False,False,,,0.044,0.005,0.037,4716
data\regression\corpus\escalation_memos\escalation_memo_05.txt,True,,escalation_memo,escalation_memo,high,high,8,0,9,False,False,,,0.043,0.001,0.04,5304
data\regression\corpus\generic_business_docs\code_of_conduct_15.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,False,,,0.177,0.157,0.019,10418
data\regression\corpus\generic_business_docs\company_newsletter_04.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,False,,,0.105,0.092,0.012,6726
data\regression\corpus\generic_business_docs\conflict_of_interest_policy_13.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,True,,,0.14,0.121,0.018,8489
data\regression\corpus\generic_business_docs\diversity_inclusion_policy_14.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,True,,,0.098,0.079,0.018,8658
data\regression\corpus\generic_business_docs\employee_handbook_01.txt,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,False,,,0.026,0.002,0.022,5707
data\regression\corpus\generic_business_docs\facilities_policy_11.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,False,,,0.134,0.118,0.014,7210
data\regression\corpus\generic_business_docs\holiday_calendar_03.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,False,,,0.133,0.121,0.012,4899
data\regression\corpus\generic_business_docs\hr_policy_02.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,False,,,0.111,0.098,0.012,6495
data\regression\corpus\generic_business_docs\it_policy_08.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,True,,,0.078,0.061,0.016,6855
data\regression\corpus\generic_business_docs\marketing_strategy_05.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,True,,,0.087,0.068,0.019,6375
data\regression\corpus\generic_business_docs\procurement_policy_10.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,True,,,0.099,0.062,0.036,8111
data\regression\corpus\generic_business_docs\sales_brochure_06.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,True,,,0.126,0.092,0.032,5878
data\regression\corpus\generic_business_docs\social_media_policy_12.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,True,,,0.184,0.131,0.05,7644
data\regression\corpus\generic_business_docs\training_guide_07.pdf,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,True,,,0.15,0.117,0.03,7833
data\regression\corpus\generic_business_docs\travel_policy_09.txt,True,,generic_business_document,generic_business_document,low,low,0,0,0,False,False,,,0.017,0.002,0.014,7260
data\regression\corpus\governance_reports\steering_committee_report_01.docx,True,,governance_report,governance_report,high,high,4,0,3,False,False,,,0.062,0.042,0.019,5118
data\regression\corpus\governance_reports\steering_committee_report_02.docx,True,,governance_report,governance_report,high,high,9,1,4,False,False,,,0.079,0.046,0.032,8035
data\regression\corpus\governance_reports\steering_committee_report_03.pdf,True,,governance_report,governance_report,high,high,7,2,5,False,False,,,0.259,0.205,0.053,7835
data\regression\corpus\governance_reports\steering_committee_report_04.pdf,True,,governance_report,governance_report,high,high,9,0,4,False,True,,,0.196,0.115,0.08,8837
data\regression\corpus\governance_reports\steering_committee_report_05.pdf,True,,governance_report,governance_report,high,high,9,0,5,False,False,,,0.308,0.22,0.087,7987
data\regression\corpus\meeting_minutes\meeting_minutes_01.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,11,False,False,,,0.059,0.043,0.016,3224
data\regression\corpus\meeting_minutes\meeting_minutes_02.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,7,False,False,,,0.067,0.056,0.01,3389
data\regression\corpus\meeting_minutes\meeting_minutes_03.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,9,False,False,,,0.061,0.05,0.01,3774
data\regression\corpus\meeting_minutes\meeting_minutes_04.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,7,False,False,,,0.059,0.049,0.008,3160
data\regression\corpus\meeting_minutes\meeting_minutes_05.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,10,False,False,,,0.055,0.035,0.019,4091
data\regression\corpus\meeting_minutes\meeting_minutes_06.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,8,False,False,,,0.069,0.046,0.022,4162
data\regression\corpus\meeting_minutes\meeting_minutes_07.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,7,False,False,,,0.043,0.032,0.01,3360
data\regression\corpus\meeting_minutes\meeting_minutes_08.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,9,False,False,,,0.043,0.031,0.011,3593
data\regression\corpus\meeting_minutes\meeting_minutes_09.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,10,False,False,,,0.06,0.05,0.01,3510
data\regression\corpus\meeting_minutes\meeting_minutes_10.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,8,False,False,,,0.043,0.033,0.009,3370
data\regression\corpus\meeting_minutes\meeting_minutes_11.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,7,False,False,,,0.048,0.038,0.009,3199
data\regression\corpus\meeting_minutes\meeting_minutes_12.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,7,False,False,,,0.049,0.039,0.009,3405
data\regression\corpus\meeting_minutes\meeting_minutes_13.docx,True,,meeting_minutes,meeting_minutes,low,low,0,0,9,False,False,,,0.05,0.038,0.012,3375
data\regression\corpus\meeting_minutes\meeting_minutes_14.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,5,False,False,,,0.125,0.11,0.015,3614
data\regression\corpus\meeting_minutes\meeting_minutes_15.txt,True,,meeting_minutes,meeting_minutes,low,low,0,0,7,False,False,,,0.013,0.001,0.011,3665
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_01.txt,True,,meeting_minutes,meeting_minutes,low,low,0,0,10,False,False,,,0.021,0.002,0.018,2849
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_02.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,8,False,False,,,0.081,0.069,0.01,2999
